employee_id,role,start_date,end_date
1,DevOps Engineer,2024-02-02,2999-12-31
1,IT Support Specialist,2023-02-02,2024-02-01
1,Business Analyst,2022-02-02,2023-02-01
1,Data Engineer,2021-02-02,2022-02-01
2,Senior Software Engineer,2024-02-02,2999-12-31
2,Project Manager,2023-02-02,2024-02-01
3,System Architect,2024-02-02,2025-01-31
4,IT Support Specialist,2024-02-02,2999-12-31
5,IT Support Specialist,2024-02-02,2999-12-31
5,Software Engineer,2023-02-02,2024-02-01
5,Project Manager,2022-02-02,2023-02-01
6,IT Support Specialist,2024-02-02,2999-12-31
7,DevOps Engineer,2024-02-02,2999-12-31
8,IT Support Specialist,2024-02-02,2999-12-31
8,Product Manager,2023-02-02,2024-02-01
8,Business Analyst,2022-02-02,2023-02-01
8,Business Analyst,2021-02-02,2022-02-01
9,System Architect,2024-02-02,2999-12-31
9,DevOps Engineer,2023-02-02,2024-02-01
10,System Architect,2024-02-02,2999-12-31
